location,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,hour,holiday
강남구,1,0,0,0,0,0,0,17,5,0
강남구,1,0,0,0,0,0,0,17,6,0
강남구,1,0,0,0,0,0,0,17,7,0
강남구,1,0,0,0,0,0,0,17,8,0
강남구,1,0,0,0,0,0,0,17,9,0
강남구,1,0,0,0,0,0,0,17,10,0
강남구,1,0,0,0,0,0,0,17,11,0
강남구,1,0,0,0,0,0,0,17,12,0
강남구,1,0,0,0,0,0,0,17,13,0
강남구,1,0,0,0,0,0,0,17,14,0
강남구,1,0,0,0,0,0,0,17,15,0
강남구,1,0,0,0,0,0,0,17,16,0
강남구,1,0,0,0,0,0,0,17,17,0
강남구,1,0,0,0,0,0,0,17,18,0
강남구,1,0,0,0,0,0,0,17,19,0
강남구,1,0,0,0,0,0,0,17,20,0
강남구,1,0,0,0,0,0,0,17,21,0
강남구,1,0,0,0,0,0,0,17,22,0
강남구,1,0,0,0,0,0,0,17,23,0
강남구,0,1,0,0,0,0,0,18,0,0
강남구,0,1,0,0,0,0,0,18,1,0
강남구,0,1,0,0,0,0,0,18,2,0
강남구,0,1,0,0,0,0,0,18,3,0
강남구,0,1,0,0,0,0,0,18,4,0
강남구,0,1,0,0,0,0,0,18,5,0
강남구,0,1,0,0,0,0,0,18,6,0
강남구,0,1,0,0,0,0,0,18,7,0
강남구,0,1,0,0,0,0,0,18,8,0
강남구,0,1,0,0,0,0,0,18,9,0
강남구,0,1,0,0,0,0,0,18,10,0
강남구,0,1,0,0,0,0,0,18,11,0
강남구,0,1,0,0,0,0,0,18,12,0
강남구,0,1,0,0,0,0,0,18,13,0
강남구,0,1,0,0,0,0,0,18,14,0
강남구,0,1,0,0,0,0,0,18,15,0
강남구,0,1,0,0,0,0,0,18,16,0
강남구,0,1,0,0,0,0,0,18,17,0
강남구,0,1,0,0,0,0,0,18,18,0
강남구,0,1,0,0,0,0,0,18,19,0
강남구,0,1,0,0,0,0,0,18,20,0
강남구,0,1,0,0,0,0,0,18,21,0
강남구,0,1,0,0,0,0,0,18,22,0
강남구,0,1,0,0,0,0,0,18,23,0
강남구,0,0,1,0,0,0,0,19,0,0
강남구,0,0,1,0,0,0,0,19,1,0
강남구,0,0,1,0,0,0,0,19,2,0
강남구,0,0,1,0,0,0,0,19,3,0
강남구,0,0,1,0,0,0,0,19,4,0
강남구,0,0,1,0,0,0,0,19,5,0
강남구,0,0,1,0,0,0,0,19,6,0
강남구,0,0,1,0,0,0,0,19,7,0
강남구,0,0,1,0,0,0,0,19,8,0
강남구,0,0,1,0,0,0,0,19,9,0
강남구,0,0,1,0,0,0,0,19,10,0
강남구,0,0,1,0,0,0,0,19,11,0
강남구,0,0,1,0,0,0,0,19,12,0
강남구,0,0,1,0,0,0,0,19,13,0
강남구,0,0,1,0,0,0,0,19,14,0
강남구,0,0,1,0,0,0,0,19,15,0
강남구,0,0,1,0,0,0,0,19,16,0
강남구,0,0,1,0,0,0,0,19,17,0
강남구,0,0,1,0,0,0,0,19,18,0
강남구,0,0,1,0,0,0,0,19,19,0
강남구,0,0,1,0,0,0,0,19,20,0
강남구,0,0,1,0,0,0,0,19,21,0
강남구,0,0,1,0,0,0,0,19,22,0
강남구,0,0,1,0,0,0,0,19,23,0
강남구,0,0,0,1,0,0,0,20,0,0
강남구,0,0,0,1,0,0,0,20,1,0
강남구,0,0,0,1,0,0,0,20,2,0
강남구,0,0,0,1,0,0,0,20,3,0
강남구,0,0,0,1,0,0,0,20,4,0
강남구,0,0,0,1,0,0,0,20,5,0
강남구,0,0,0,1,0,0,0,20,6,0
강남구,0,0,0,1,0,0,0,20,7,0
강남구,0,0,0,1,0,0,0,20,8,0
강남구,0,0,0,1,0,0,0,20,9,0
강남구,0,0,0,1,0,0,0,20,10,0
강남구,0,0,0,1,0,0,0,20,11,0
강남구,0,0,0,1,0,0,0,20,12,0
강남구,0,0,0,1,0,0,0,20,13,0
강남구,0,0,0,1,0,0,0,20,14,0
강남구,0,0,0,1,0,0,0,20,15,0
강남구,0,0,0,1,0,0,0,20,16,0
강남구,0,0,0,1,0,0,0,20,17,0
강남구,0,0,0,1,0,0,0,20,18,0
강남구,0,0,0,1,0,0,0,20,19,0
강남구,0,0,0,1,0,0,0,20,20,0
강남구,0,0,0,1,0,0,0,20,21,0
강남구,0,0,0,1,0,0,0,20,22,0
강남구,0,0,0,1,0,0,0,20,23,0
강남구,0,0,0,0,1,0,0,21,0,0
강남구,0,0,0,0,1,0,0,21,1,0
강남구,0,0,0,0,1,0,0,21,2,0
강남구,0,0,0,0,1,0,0,21,3,0
강남구,0,0,0,0,1,0,0,21,4,0
강남구,0,0,0,0,1,0,0,21,5,0
강남구,0,0,0,0,1,0,0,21,6,0
강남구,0,0,0,0,1,0,0,21,7,0
강남구,0,0,0,0,1,0,0,21,8,0
강남구,0,0,0,0,1,0,0,21,9,0
강남구,0,0,0,0,1,0,0,21,10,0
강남구,0,0,0,0,1,0,0,21,11,0
강남구,0,0,0,0,1,0,0,21,12,0
강남구,0,0,0,0,1,0,0,21,13,0
강남구,0,0,0,0,1,0,0,21,14,0
강남구,0,0,0,0,1,0,0,21,15,0
강남구,0,0,0,0,1,0,0,21,16,0
강남구,0,0,0,0,1,0,0,21,17,0
강남구,0,0,0,0,1,0,0,21,18,0
강남구,0,0,0,0,1,0,0,21,19,0
강남구,0,0,0,0,1,0,0,21,20,0
강남구,0,0,0,0,1,0,0,21,21,0
강남구,0,0,0,0,1,0,0,21,22,0
강남구,0,0,0,0,1,0,0,21,23,0
강남구,0,0,0,0,0,1,0,22,0,0
강남구,0,0,0,0,0,1,0,22,1,0
강남구,0,0,0,0,0,1,0,22,2,0
강남구,0,0,0,0,0,1,0,22,3,0
강남구,0,0,0,0,0,1,0,22,4,0
강남구,0,0,0,0,0,1,0,22,5,0
강남구,0,0,0,0,0,1,0,22,6,0
강남구,0,0,0,0,0,1,0,22,7,0
강남구,0,0,0,0,0,1,0,22,8,0
강남구,0,0,0,0,0,1,0,22,9,0
강남구,0,0,0,0,0,1,0,22,10,0
강남구,0,0,0,0,0,1,0,22,11,0
강남구,0,0,0,0,0,1,0,22,12,0
강남구,0,0,0,0,0,1,0,22,13,0
강남구,0,0,0,0,0,1,0,22,14,0
강남구,0,0,0,0,0,1,0,22,15,0
강남구,0,0,0,0,0,1,0,22,16,0
강남구,0,0,0,0,0,1,0,22,17,0
강남구,0,0,0,0,0,1,0,22,18,0
강남구,0,0,0,0,0,1,0,22,19,0
강남구,0,0,0,0,0,1,0,22,20,0
강남구,0,0,0,0,0,1,0,22,21,0
강남구,0,0,0,0,0,1,0,22,22,0
강남구,0,0,0,0,0,1,0,22,23,0
강남구,0,0,0,0,0,0,1,23,0,1
강남구,0,0,0,0,0,0,1,23,1,1
강남구,0,0,0,0,0,0,1,23,2,1
강남구,0,0,0,0,0,0,1,23,3,1
강남구,0,0,0,0,0,0,1,23,4,1
강남구,0,0,0,0,0,0,1,23,5,1
강남구,0,0,0,0,0,0,1,23,6,1
강남구,0,0,0,0,0,0,1,23,7,1
강남구,0,0,0,0,0,0,1,23,8,1
강남구,0,0,0,0,0,0,1,23,9,1
강남구,0,0,0,0,0,0,1,23,10,1
강남구,0,0,0,0,0,0,1,23,11,1
강남구,0,0,0,0,0,0,1,23,12,1
강남구,0,0,0,0,0,0,1,23,13,1
강남구,0,0,0,0,0,0,1,23,14,1
강남구,0,0,0,0,0,0,1,23,15,1
강남구,0,0,0,0,0,0,1,23,16,1
강남구,0,0,0,0,0,0,1,23,17,1
강남구,0,0,0,0,0,0,1,23,18,1
강남구,0,0,0,0,0,0,1,23,19,1
강남구,0,0,0,0,0,0,1,23,20,1
강남구,0,0,0,0,0,0,1,23,21,1
강남구,0,0,0,0,0,0,1,23,22,1
강남구,0,0,0,0,0,0,1,23,23,1
강남구,1,0,0,0,0,0,0,24,0,1
강남구,1,0,0,0,0,0,0,24,1,1
강남구,1,0,0,0,0,0,0,24,2,1
강남구,1,0,0,0,0,0,0,24,3,1
강남구,1,0,0,0,0,0,0,24,4,1
강남구,1,0,0,0,0,0,0,24,5,1
강남구,1,0,0,0,0,0,0,24,6,1
강남구,1,0,0,0,0,0,0,24,7,1
강남구,1,0,0,0,0,0,0,24,8,1
강남구,1,0,0,0,0,0,0,24,9,1
강남구,1,0,0,0,0,0,0,24,10,1
강남구,1,0,0,0,0,0,0,24,11,1
강남구,1,0,0,0,0,0,0,24,12,1
강남구,1,0,0,0,0,0,0,24,13,1
강남구,1,0,0,0,0,0,0,24,14,1
강남구,1,0,0,0,0,0,0,24,15,1
강남구,1,0,0,0,0,0,0,24,16,1
강남구,1,0,0,0,0,0,0,24,17,1
강남구,1,0,0,0,0,0,0,24,18,1
강남구,1,0,0,0,0,0,0,24,19,1
강남구,1,0,0,0,0,0,0,24,20,1
강남구,1,0,0,0,0,0,0,24,21,1
강남구,1,0,0,0,0,0,0,24,22,1
